text,category
Payment towards Cleaning supplies and housekeeping materials,Office Supplies
Expense: Microsoft Azure virtual machine and storage charges,Cloud/Software
Invoice for Vistara business class ticket for CEO travel,Travel
Vendor invoice — Wall clock and notice board for reception,Office Supplies
purchase of raw cotton bales from supplier — reimbursement claim,Inventory
Transport charges for inter-state goods movement — reimbursement claim,Logistics
Projector screen for conference room,Office Supplies
payment towards keyboard and mouse combo wireless set,Office Supplies
gst invoice for piped water supply and sewerage charges,Utilities
Invoice for CCTV surveillance system monitoring charges,Utilities
Invoice for ChatGPT API usage and OpenAI platform credits,Cloud/Software
Diesel generator fuel for power backup — reimbursement claim,Utilities
bsnl broadband internet connection charges — reimbursement claim,Utilities
MTNL telephone and landline rental charges,Utilities
Expense: Cleaning supplies and housekeeping materials,Office Supplies
Expense: GitHub Team plan for private repositories,Cloud/Software
Visiting cards and letterhead printing,Office Supplies
Expense: Vercel Pro deployment and hosting plan,Cloud/Software
Invoice for Rajdhani Express train fare for business travel,Travel
Bill: Packaging boxes cartons and bubble wrap,Inventory
Payment towards GitHub Team plan for private repositories,Cloud/Software
Vendor invoice — Vistara business class ticket for CEO travel,Travel
Payment towards Salesforce CRM monthly enterprise license,Cloud/Software
Payment towards Per diem meal allowance during Hyderabad trip,Travel
Payment towards Vercel Pro deployment and hosting plan,Cloud/Software
Computer hardware components for assembly,Inventory
Paint and chemical solvents for production — reimbursement claim,Inventory
Vendor invoice — Zoom Pro video conferencing license renewal,Cloud/Software
Vendor invoice — Airtel business Wi-Fi connection bill,Utilities
Sewage treatment plant operating expenses,Utilities
Payment towards XpressBees logistics pickup and delivery,Logistics
expense: razorpay payment gateway integration charges,Cloud/Software
Invoice for Loading and unloading charges at distribution centre,Logistics
bill: rain water harvesting system maintenance,Utilities
Expense: Transport charges for inter-state goods movement,Logistics
Wood timber and plywood for furniture workshop,Inventory
travel insurance premium for international trip,Travel
Recurring charge: Jio fiber high-speed internet monthly rental,Utilities
Expense: Porter intra-city logistics and tempo hire,Logistics
Safety equipment helmets gloves for warehouse,Inventory
ergonomic office chair for workstation,Office Supplies
GST invoice for MongoDB Atlas managed database hosting,Cloud/Software
Recurring charge: Parking charges at client premises and airport,Travel
Invoice for Cleaning supplies and housekeeping materials,Office Supplies
Vendor invoice — Paper shredder for document disposal,Office Supplies
Recurring charge: Purchase of raw cotton bales from supplier,Inventory
bill: printer consumables and toner for resale,Inventory
Invoice for Purchase of raw cotton bales from supplier,Inventory
Expense: Desk lamp LED study light for workstation,Office Supplies
Sewage treatment plant operating expenses — reimbursement claim,Utilities
recurring charge: rain water harvesting system maintenance,Utilities
Invoice for MTNL telephone and landline rental charges,Utilities
Courier charges for sending documents to client — reimbursement claim,Logistics
gst invoice for ola cab ride from office to airport,Travel
Bill: Tatkal train booking for urgent site visit,Travel
GST invoice for Sewage treatment plant operating expenses,Utilities
Bill: Lift and elevator annual maintenance contract,Utilities
Vendor invoice — FedEx international freight forwarding charges,Logistics
Expense: Lift and elevator annual maintenance contract,Utilities
Invoice for Bike delivery charges for same-day dispatch,Logistics
gst invoice for figma professional design tool license,Cloud/Software
Expense: Rental car with driver for week-long project site,Travel
Vendor invoice — Courier charges for sending documents to client,Logistics
Recurring charge: Rajdhani Express train fare for business travel,Travel
airtel business wi-fi connection bill,Utilities
Invoice for DigitalOcean droplet and managed database charges,Cloud/Software
gst invoice for herbal extracts and cosmetic raw materials,Inventory
Payment towards Jio fiber high-speed internet monthly rental,Utilities
Payment towards Ola cab ride from office to airport,Travel
Invoice for Freshdesk customer support software license,Cloud/Software
Recurring charge: Street lighting and compound security charges,Utilities
Safety equipment helmets gloves for warehouse,Inventory
Payment towards Desk organizers and file folders purchase,Office Supplies
Recurring charge: Ola cab ride from office to airport,Travel
Vendor invoice — Piped water supply and sewerage charges,Utilities
vendor invoice — delhivery shipment for customer order fulfilment,Logistics
GST invoice for DHL express shipping for export consignment,Logistics
Bill: Cleaning supplies and housekeeping materials,Office Supplies
Expense: Fire safety compliance and extinguisher refill,Utilities
Bill: Street lighting and compound security charges,Utilities
Recurring charge: Air conditioning AMC and servicing charges,Utilities
GST invoice for Lift and elevator annual maintenance contract,Utilities
Street lighting and compound security charges — reimbursement claim,Utilities
Vendor invoice — Air conditioning AMC and servicing charges,Utilities
vendor invoice — packaging boxes cartons and bubble wrap,Inventory
ChatGPT API usage and OpenAI platform credits — reimbursement claim,Cloud/Software
Bill: Loading and unloading charges at distribution centre,Logistics
GST invoice for Commercial gas connection bill for canteen,Utilities
vendor invoice — rental car with driver for week-long project site,Travel
recurring charge: computer hardware components for assembly,Inventory
Wall clock and notice board for reception,Office Supplies
Invoice for DTDC express parcel delivery charges,Logistics
Expense: India Post speed post and registered parcel charges,Logistics
Expense: Pharmaceutical raw materials API procurement,Inventory
Commercial gas connection bill for canteen — reimbursement claim,Utilities
Pen drive and external hard disk purchase,Office Supplies
Finished goods stock replenishment from vendor — reimbursement claim,Inventory
GST invoice for Ola cab ride from office to airport,Travel
Bill: Vercel Pro deployment and hosting plan,Cloud/Software
Recurring charge: Lift and elevator annual maintenance contract,Utilities
Plastic granules and moulding material — reimbursement claim,Inventory
Bill: Shadowfax hyperlocal delivery charges,Logistics
waste disposal and garbage collection charges,Utilities
invoice for loading and unloading charges at distribution centre,Logistics
Payment towards AWS monthly cloud hosting and EC2 instance bill,Cloud/Software
Expense: Blue Dart courier charges for warehouse delivery,Logistics
Bill: Ecom Express last-mile delivery fee,Logistics
Bill: Waste disposal and garbage collection charges,Utilities
Vendor invoice — Warehouse to warehouse stock transfer logistics,Logistics
Desk lamp LED study light for workstation — reimbursement claim,Office Supplies
Expense: DigitalOcean droplet and managed database charges,Cloud/Software
Payment towards Rajdhani Express train fare for business travel,Travel
xpressbees logistics pickup and delivery — reimbursement claim,Logistics
GST invoice for Fabric rolls and textile material procurement,Inventory
battery cells and charger units procurement,Inventory
Metro card recharge for daily office commute — reimbursement claim,Travel
GST invoice for AWS monthly cloud hosting and EC2 instance bill,Cloud/Software
GST invoice for BSNL broadband internet connection charges,Utilities
recurring charge: municipal property tax and civic charges,Utilities
computer hardware components for assembly,Inventory
Bill: Trucking charges for bulk raw material delivery,Logistics
Toll charges for highway travel Pune to Mumbai — reimbursement claim,Travel
Bill: Flight tickets Delhi to Mumbai for client meeting,Travel
conference registration and travel grant,Travel
Bill: XpressBees logistics pickup and delivery,Logistics
Expense: Delhivery shipment for customer order fulfilment,Logistics
freight forwarding charges for container shipment,Logistics
Bill: Pen drive and external hard disk purchase,Office Supplies
Recurring charge: DTDC express parcel delivery charges,Logistics
Office pantry supplies tea coffee sugar and cups,Office Supplies
Bill: Transport charges for inter-state goods movement,Logistics
MakeMyTrip hotel booking for annual offsite,Travel
Blue Dart courier charges for warehouse delivery — reimbursement claim,Logistics
jio fiber high-speed internet monthly rental,Utilities
Payment towards Metro card recharge for daily office commute,Travel
GST invoice for First aid kit and safety supplies for office,Office Supplies
Invoice for Pharmaceutical raw materials API procurement,Inventory
Rental car with driver for week-long project site — reimbursement claim,Travel
expense: cloudflare domain and cdn service subscription,Cloud/Software
Invoice for Fire safety compliance and extinguisher refill,Utilities
Monthly electricity bill for office premises,Utilities
Finished goods stock replenishment from vendor,Inventory
Recurring charge: GitHub Team plan for private repositories,Cloud/Software
payment towards cleaning supplies and housekeeping materials,Office Supplies
GST invoice for Visa processing and consulate fees for Singapore,Travel
Bill: Cold chain transportation for perishable goods,Logistics
per diem meal allowance during hyderabad trip,Travel
Recurring charge: MTNL telephone and landline rental charges,Utilities
Expense: MongoDB Atlas managed database hosting,Cloud/Software
Jio fiber high-speed internet monthly rental,Utilities
invoice for ola cab ride from office to airport,Travel
Recurring charge: ChatGPT API usage and OpenAI platform credits,Cloud/Software
CCTV surveillance system monitoring charges — reimbursement claim,Utilities
Recurring charge: Conference registration and travel grant,Travel
Recurring charge: Food ingredients and spices bulk purchase,Inventory
Recurring charge: Solar panel maintenance and cleaning charges,Utilities
Payment towards DHL express shipping for export consignment,Logistics
Cold chain transportation for perishable goods — reimbursement claim,Logistics
Recurring charge: Airport lounge access and priority boarding,Travel
Payment towards Airport lounge access and priority boarding,Travel
Fire safety compliance and extinguisher refill — reimbursement claim,Utilities
Vendor invoice — Battery cells and charger units procurement,Inventory
Visiting cards and letterhead printing,Office Supplies
Recurring charge: Garment trims buttons zippers thread stock,Inventory
BSNL broadband internet connection charges,Utilities
recurring charge: adobe creative cloud all-apps subscription,Cloud/Software
gst invoice for digitalocean droplet and managed database charges,Cloud/Software
payment towards pharmaceutical raw materials api procurement,Inventory
Expense: Ola cab ride from office to airport,Travel
Airtel business Wi-Fi connection bill,Utilities
Vendor invoice — Whiteboard markers and eraser set for meeting room,Office Supplies
Bill: Conference registration and travel grant,Travel
Zoom Pro video conferencing license renewal,Cloud/Software
Recurring charge: Cleaning supplies and housekeeping materials,Office Supplies
Expense: Bus ticket for employee inter-city commute,Travel
Bill: Jira Software Cloud project management license,Cloud/Software
Payment towards Wall clock and notice board for reception,Office Supplies
invoice for jira software cloud project management license,Cloud/Software
GST invoice for Safety equipment helmets gloves for warehouse,Inventory
gst invoice for fire safety compliance and extinguisher refill,Utilities
GST invoice for ChatGPT API usage and OpenAI platform credits,Cloud/Software
GST invoice for New Relic application monitoring subscription,Cloud/Software
recurring charge: electronic components ics and pcbs for assembly,Inventory
invoice for india post speed post and registered parcel charges,Logistics
pest control and fumigation service charges,Utilities
safety equipment helmets gloves for warehouse,Inventory
Invoice for Electronic components ICs and PCBs for assembly,Inventory
Trucking charges for bulk raw material delivery,Logistics
Payment towards Packaging boxes cartons and bubble wrap,Inventory
Invoice for Desk organizers and file folders purchase,Office Supplies
bill: waste disposal and garbage collection charges,Utilities
Air conditioning AMC and servicing charges,Utilities
makemytrip hotel booking for annual offsite,Travel
Expense: Airtel business Wi-Fi connection bill,Utilities
Vendor invoice — Street lighting and compound security charges,Utilities
Vendor invoice — Office pantry supplies tea coffee sugar and cups,Office Supplies
Ecom Express last-mile delivery fee,Logistics
Recurring charge: Wood timber and plywood for furniture workshop,Inventory
New Relic application monitoring subscription,Cloud/Software
Bill: Pharmaceutical raw materials API procurement,Inventory
GST invoice for Warehouse to warehouse stock transfer logistics,Logistics
Expense: OYO hotel accommodation for conference in Bangalore,Travel
FedEx international freight forwarding charges — reimbursement claim,Logistics
Air conditioning AMC and servicing charges — reimbursement claim,Utilities
recurring charge: figma professional design tool license,Cloud/Software
Diesel generator fuel for power backup,Utilities
invoice for shadowfax hyperlocal delivery charges,Logistics
Invoice for Street lighting and compound security charges,Utilities
Payment towards Airtel business Wi-Fi connection bill,Utilities
Invoice for Garment trims buttons zippers thread stock,Inventory
Bill: Staplers paper clips and binder accessories,Office Supplies
Delhivery shipment for customer order fulfilment,Logistics
Recurring charge: MongoDB Atlas managed database hosting,Cloud/Software
ups battery backup for office computers — reimbursement claim,Office Supplies
bill: airport lounge access and priority boarding,Travel
Jira Software Cloud project management license,Cloud/Software
recurring charge: blue dart courier charges for warehouse delivery,Logistics
Expense: Whiteboard markers and eraser set for meeting room,Office Supplies
paint and chemical solvents for production,Inventory
Recurring charge: First aid kit and safety supplies for office,Office Supplies
Vendor invoice — Visiting cards and letterhead printing,Office Supplies
Multi-plug extension board and cable organizer,Office Supplies
Fabric rolls and textile material procurement,Inventory
Vendor invoice — Google Workspace Business email and storage plan,Cloud/Software
GST invoice for Automobile spare parts for service centre stock,Inventory
Expense: Safety equipment helmets gloves for warehouse,Inventory
Packaging boxes cartons and bubble wrap — reimbursement claim,Inventory
Invoice for Figma professional design tool license,Cloud/Software
Bill: CCTV surveillance system monitoring charges,Utilities
Invoice for Printer consumables and toner for resale,Inventory
payment towards transport charges for inter-state goods movement,Logistics
chatgpt api usage and openai platform credits — reimbursement claim,Cloud/Software
Recurring charge: Safety equipment helmets gloves for warehouse,Inventory
Expense: Employee ID card printing and lanyards,Office Supplies
Bill: Air conditioning AMC and servicing charges,Utilities
GST invoice for Pest control and fumigation service charges,Utilities
Invoice for Cement bags and construction materials purchase,Inventory
India Post speed post and registered parcel charges,Logistics
recurring charge: visa processing and consulate fees for singapore,Travel
GST invoice for Office pantry supplies tea coffee sugar and cups,Office Supplies
e-way bill compliant transporter charges for goods,Logistics
Payment towards Toll charges for highway travel Pune to Mumbai,Travel
Recurring charge: Standing desk converter and monitor riser,Office Supplies
recurring charge: return shipment reverse logistics processing fee,Logistics
Bill: Ola cab ride from office to airport,Travel
tatkal train booking for urgent site visit — reimbursement claim,Travel
Fuel reimbursement for personal car used for work,Travel
Invoice for Google Cloud Platform compute engine subscription,Cloud/Software
vendor invoice — salesforce crm monthly enterprise license,Cloud/Software
Invoice for Cloudflare domain and CDN service subscription,Cloud/Software
oyo hotel accommodation for conference in bangalore — reimbursement claim,Travel
mongodb atlas managed database hosting,Cloud/Software
Expense: Parking charges at client premises and airport,Travel
Recurring charge: AWS monthly cloud hosting and EC2 instance bill,Cloud/Software
fire safety compliance and extinguisher refill,Utilities
Invoice for Solar panel maintenance and cleaning charges,Utilities
GST invoice for India Post speed post and registered parcel charges,Logistics
Bill: Commercial gas connection bill for canteen,Utilities
India Post speed post and registered parcel charges — reimbursement claim,Logistics
recurring charge: monthly electricity bill for office premises,Utilities
Vendor invoice — Jira Software Cloud project management license,Cloud/Software
payment towards zoom pro video conferencing license renewal,Cloud/Software
bus ticket for employee inter-city commute,Travel
Invoice for Transport charges for inter-state goods movement,Logistics
invoice for salesforce crm monthly enterprise license,Cloud/Software
Loading and unloading charges at distribution centre — reimbursement claim,Logistics
Vendor invoice — Metro card recharge for daily office commute,Travel
Bill: Steel bars and TMT rods for manufacturing,Inventory
expense: airport lounge access and priority boarding,Travel
Invoice for Delhivery shipment for customer order fulfilment,Logistics
bill: cold chain transportation for perishable goods,Logistics
Bill: Automobile spare parts for service centre stock,Inventory
Bill: DigitalOcean droplet and managed database charges,Cloud/Software
Invoice for Warehouse to warehouse stock transfer logistics,Logistics
Invoice for Packaging boxes cartons and bubble wrap,Inventory
Invoice for Building maintenance and common area electricity,Utilities
Bill: Return shipment reverse logistics processing fee,Logistics
UPS battery backup for office computers,Office Supplies
Vendor invoice — MongoDB Atlas managed database hosting,Cloud/Software
Rain water harvesting system maintenance,Utilities
Vendor invoice — Herbal extracts and cosmetic raw materials,Inventory
GST invoice for Finished goods stock replenishment from vendor,Inventory
Expense: Street lighting and compound security charges,Utilities
Vendor invoice — Printer consumables and toner for resale,Inventory
Expense: Freight forwarding charges for container shipment,Logistics
recurring charge: safety equipment helmets gloves for warehouse,Inventory
expense: plastic granules and moulding material,Inventory
Expense: Toll charges for highway travel Pune to Mumbai,Travel
gst invoice for commercial gas connection bill for canteen,Utilities
Payment towards Wood timber and plywood for furniture workshop,Inventory
Recurring charge: Fire safety compliance and extinguisher refill,Utilities
Invoice for Safety equipment helmets gloves for warehouse,Inventory
GST invoice for Vercel Pro deployment and hosting plan,Cloud/Software
Invoice for MakeMyTrip hotel booking for annual offsite,Travel
Vendor invoice — Ergonomic office chair for workstation,Office Supplies
Payment towards Tatkal train booking for urgent site visit,Travel
vendor invoice — trucking charges for bulk raw material delivery,Logistics
AWS monthly cloud hosting and EC2 instance bill,Cloud/Software
Bill: OYO hotel accommodation for conference in Bangalore,Travel
Vendor invoice — Cold chain transportation for perishable goods,Logistics
Vendor invoice — Slack Business Plus annual team subscription,Cloud/Software
diesel generator fuel for power backup,Utilities
Jio fiber high-speed internet monthly rental — reimbursement claim,Utilities
Invoice for Visiting cards and letterhead printing,Office Supplies
Invoice for Airtel business Wi-Fi connection bill,Utilities
Payment towards Garment trims buttons zippers thread stock,Inventory
Vendor invoice — Paint and chemical solvents for production,Inventory
Solar panel maintenance and cleaning charges,Utilities
FedEx international freight forwarding charges,Logistics
Bill: Solar panel maintenance and cleaning charges,Utilities
Printer consumables and toner for resale,Inventory
Expense: Plastic granules and moulding material,Inventory
Vendor invoice — GitHub Team plan for private repositories,Cloud/Software
GST invoice for DigitalOcean droplet and managed database charges,Cloud/Software
MakeMyTrip hotel booking for annual offsite,Travel
rajdhani express train fare for business travel — reimbursement claim,Travel
GST invoice for A4 printing paper ream pack for office use,Office Supplies
GST invoice for Packaging boxes cartons and bubble wrap,Inventory
Fire safety compliance and extinguisher refill,Utilities
Expense: Rain water harvesting system maintenance,Utilities
Toll charges for highway travel Pune to Mumbai,Travel
Invoice for Whiteboard markers and eraser set for meeting room,Office Supplies
Airtel business Wi-Fi connection bill,Utilities
Electronic components ICs and PCBs for assembly,Inventory
Payment towards DTDC express parcel delivery charges,Logistics
Vendor invoice — Commercial gas connection bill for canteen,Utilities
Expense: Jio fiber high-speed internet monthly rental,Utilities
Battery cells and charger units procurement,Inventory
Wall clock and notice board for reception — reimbursement claim,Office Supplies
Staplers paper clips and binder accessories,Office Supplies
MongoDB Atlas managed database hosting,Cloud/Software
Garment trims buttons zippers thread stock — reimbursement claim,Inventory
gst invoice for ups battery backup for office computers,Office Supplies
Expense: Adobe Creative Cloud all-apps subscription,Cloud/Software
Vendor invoice — E-way bill compliant transporter charges for goods,Logistics
Cleaning supplies and housekeeping materials,Office Supplies
Expense: Electronic components ICs and PCBs for assembly,Inventory
Expense: DTDC express parcel delivery charges,Logistics
Recurring charge: Travel insurance premium for international trip,Travel
Invoice for Wall clock and notice board for reception,Office Supplies
Payment towards Parking charges at client premises and airport,Travel
zoom pro video conferencing license renewal — reimbursement claim,Cloud/Software
Vendor invoice — Rajdhani Express train fare for business travel,Travel
Cloudflare domain and CDN service subscription — reimbursement claim,Cloud/Software
Payment towards Visiting cards and letterhead printing,Office Supplies
Payment towards Mobile accessories wholesale lot for retail,Inventory
Bill: Microsoft Azure virtual machine and storage charges,Cloud/Software
Desk lamp LED study light for workstation,Office Supplies
Expense: Purchase of raw cotton bales from supplier,Inventory
GST invoice for Zoom Pro video conferencing license renewal,Cloud/Software
GST invoice for Cleaning supplies and housekeeping materials,Office Supplies
Microsoft Azure virtual machine and storage charges — reimbursement claim,Cloud/Software
gst invoice for cold chain transportation for perishable goods,Logistics
Courier charges for sending documents to client,Logistics
Invoice for Desk lamp LED study light for workstation,Office Supplies
Recurring charge: Metro card recharge for daily office commute,Travel
expense: pharmaceutical raw materials api procurement,Inventory
rain water harvesting system maintenance,Utilities
Vendor invoice — Wood timber and plywood for furniture workshop,Inventory
bike delivery charges for same-day dispatch,Logistics
Vendor invoice — Travel insurance premium for international trip,Travel
expense: desk organizers and file folders purchase,Office Supplies
Whiteboard markers and eraser set for meeting room,Office Supplies
Vendor invoice — Projector screen for conference room,Office Supplies
airtel business wi-fi connection bill,Utilities
Bill: Office pantry supplies tea coffee sugar and cups,Office Supplies
payment towards freight forwarding charges for container shipment,Logistics
ChatGPT API usage and OpenAI platform credits,Cloud/Software
Recurring charge: UPS battery backup for office computers,Office Supplies
Parking charges at client premises and airport — reimbursement claim,Travel
Bike delivery charges for same-day dispatch — reimbursement claim,Logistics
Expense: Building maintenance and common area electricity,Utilities
Courier charges for sending documents to client,Logistics
Bill: Per diem meal allowance during Hyderabad trip,Travel
invoice for rajdhani express train fare for business travel,Travel
expense: wall clock and notice board for reception,Office Supplies
gst invoice for per diem meal allowance during hyderabad trip,Travel
Payment towards CCTV surveillance system monitoring charges,Utilities
Delhivery shipment for customer order fulfilment — reimbursement claim,Logistics
Expense: New Relic application monitoring subscription,Cloud/Software
Ecom Express last-mile delivery fee,Logistics
Payment towards Solar panel maintenance and cleaning charges,Utilities
Cleaning supplies and housekeeping materials,Office Supplies
Invoice for Salesforce CRM monthly enterprise license,Cloud/Software
Payment towards Whiteboard markers and eraser set for meeting room,Office Supplies
gst invoice for electronic components ics and pcbs for assembly,Inventory
xpressbees logistics pickup and delivery,Logistics
Recurring charge: Piped water supply and sewerage charges,Utilities
Vendor invoice — Ecom Express last-mile delivery fee,Logistics
Visa processing and consulate fees for Singapore,Travel
Return shipment reverse logistics processing fee — reimbursement claim,Logistics
GST invoice for Garment trims buttons zippers thread stock,Inventory
Payment towards E-way bill compliant transporter charges for goods,Logistics
Vendor invoice — Purchase of raw cotton bales from supplier,Inventory
payment towards projector screen for conference room,Office Supplies
GST invoice for Printer consumables and toner for resale,Inventory
Metro card recharge for daily office commute,Travel
GST invoice for Visiting cards and letterhead printing,Office Supplies
Payment towards OYO hotel accommodation for conference in Bangalore,Travel
Flight tickets Delhi to Mumbai for client meeting,Travel
Office pantry supplies tea coffee sugar and cups,Office Supplies
toll charges for highway travel pune to mumbai,Travel
Recurring charge: Rain water harvesting system maintenance,Utilities
Expense: Uber auto rickshaw for local client visit,Travel
Bill: Google Workspace Business email and storage plan,Cloud/Software
expense: solar panel maintenance and cleaning charges,Utilities
payment towards dhl express shipping for export consignment,Logistics
Payment towards Street lighting and compound security charges,Utilities
Recurring charge: Electronic components ICs and PCBs for assembly,Inventory
bill: dhl express shipping for export consignment,Logistics
vendor invoice — rain water harvesting system maintenance,Utilities
bill: battery cells and charger units procurement,Inventory
Vendor invoice — Shadowfax hyperlocal delivery charges,Logistics
Expense: FedEx international freight forwarding charges,Logistics
Invoice for AWS monthly cloud hosting and EC2 instance bill,Cloud/Software
expense: conference registration and travel grant,Travel
IRCTC train ticket for team offsite Jaipur — reimbursement claim,Travel
Bill: ChatGPT API usage and OpenAI platform credits,Cloud/Software
Expense: Warehouse to warehouse stock transfer logistics,Logistics
flight tickets delhi to mumbai for client meeting,Travel
Expense: Notion team workspace annual subscription,Cloud/Software
Payment towards Fabric rolls and textile material procurement,Inventory
GST invoice for Rain water harvesting system maintenance,Utilities
Expense: Solar panel maintenance and cleaning charges,Utilities
OYO hotel accommodation for conference in Bangalore — reimbursement claim,Travel
gst invoice for desk organizers and file folders purchase,Office Supplies
Recurring charge: Transport charges for inter-state goods movement,Logistics
HP ink cartridge and toner replacement,Office Supplies
Porter intra-city logistics and tempo hire — reimbursement claim,Logistics
Recurring charge: Sewage treatment plant operating expenses,Utilities
Bill: Slack Business Plus annual team subscription,Cloud/Software
bill: first aid kit and safety supplies for office,Office Supplies
vendor invoice — monthly electricity bill for office premises,Utilities
payment towards trucking charges for bulk raw material delivery,Logistics
MTNL telephone and landline rental charges,Utilities
projector screen for conference room,Office Supplies
Payment towards Keyboard and mouse combo wireless set,Office Supplies
Food ingredients and spices bulk purchase,Inventory
AWS monthly cloud hosting and EC2 instance bill — reimbursement claim,Cloud/Software
Vendor invoice — UPS battery backup for office computers,Office Supplies
Fabric rolls and textile material procurement,Inventory
Vendor invoice — Standing desk converter and monitor riser,Office Supplies
Adobe Creative Cloud all-apps subscription — reimbursement claim,Cloud/Software
gst invoice for metro card recharge for daily office commute,Travel
Finished goods stock replenishment from vendor,Inventory
bill: municipal property tax and civic charges,Utilities
recurring charge: delhivery shipment for customer order fulfilment,Logistics
Vendor invoice — Adobe Creative Cloud all-apps subscription,Cloud/Software
rajdhani express train fare for business travel,Travel
packaging boxes cartons and bubble wrap,Inventory
Projector screen for conference room,Office Supplies
